ID,title,year,director,writer,actor
002469, Striptease, 1996, Andrew Bergman, Carl Hiaasen; Andrew Bergman, Demi Moore; Burt Reynolds; Armand Assante
002470, Night of the Living Dead, 1968, George A. Romero, John A. Russo; George A. Romero, Duane Jones; Judith O'Dea; Karl Hardman
002471, The Crazies, 2010, Breck Eisner, Scott Kosar; Ray Wright, Radha Mitchell; Timothy Olyphant; Danielle Panabaker
002472, The Spiderwick Chronicles, 2008, Mark Waters, Karey Kirkpatrick; David Berenbaum, Freddie Highmore; Sarah Bolger; David Strathairn
002473, Bedtime Stories, 2008, Adam Shankman, Matt Lopez; Tim Herlihy, Adam Sandler; Keri Russell; Courteney Cox
002474, Friday the 13th, 2016, , , 
002475, Halloween Returns, , Marcus Dunstan, John Carpenter; Marcus Dunstan, 
002476, Paranormal Activity: The Marked Ones, 2014, Christopher Landon, Christopher Landon; Oren Peli, Andrew Jacobs; Jorge Diaz; Gabrielle Walsh
002477, Ghost Town(I), 2008, David Koepp, David Koepp; John Kamps, Ricky Gervais; Greg Kinnear; Téa Leoni
002478, Pound of Flesh, 2015, Ernie Barbarash, Joshua James, Jean-Claude Van Damme; Darren Shahlavi; Charlotte Peters
002479, Straw Dogs, 2011, Rod Lurie, Rod Lurie; David Zelag Goodman, James Marsden; Kate Bosworth; Alexander Skarsgård
002480, Beyond the Reach, 2014, Jean-Baptiste Léonetti, Robb White; Stephen Susco, Michael Douglas; Jeremy Irvine; Martin Palmer
002481, Alvin and the Chipmunks, 2007, Tim Hill, Jon Vitti; Will McRobb, Jason Lee; David Cross; Cameron Richardson
002482, The Flintstones, 1994, Brian Levant, Tom S. Parker; Jim Jennewein, John Goodman; Rick Moranis; Rosie O'Donnell
002483, El Dorado, 1966, Howard Hawks, Leigh Brackett; Harry Brown, John Wayne; Robert Mitchum; James Caan
002484, Spy Game, 2001, Tony Scott, Michael Frost Beckner; Michael Frost Beckner, Robert Redford; Brad Pitt; Catherine McCormack
002485, Contracted, 2013, Eric England, Eric England, Najarra Townsend; Caroline Williams; Alice Macdonald
002486, Marauders, 2016, Steven C. Miller, Michael Cody; Michael Cody, Dave Bautista; Bruce Willis; Adrian Grenier
002487, Ben-Hur, 1959, William Wyler, Lew Wallace; Karl Tunberg, Charlton Heston; Jack Hawkins; Stephen Boyd
002488, Iron Sky, 2012, Timo Vuorensola, Jarmo Puskala; Johanna Sinisalo, Julia Dietze; Christopher Kirby; Götz Otto
002489, The Legend of Hercules, 2014, Renny Harlin, Sean Hood; Daniel Giat, Kellan Lutz; Gaia Weiss; Scott Adkins
002490, Saturday Night Fever, 1977, John Badham, Nik Cohn; Norman Wexler, John Travolta; Karen Lynn Gorney; Barry Miller
002491, Northmen - A Viking Saga, 2014, Claudio Fäh, Bastian Zach; Matthias Bauer, Ed Skrein; Ryan Kwanten; James Norton
002492, Safe(I), 2012, Boaz Yakin, Boaz Yakin, Jason Statham; Catherine Chan; Chris Sarandon
002493, Knight and Day, 2010, James Mangold, Patrick O'Neill, Tom Cruise; Cameron Diaz; Peter Sarsgaard
002494, Priest, 2011, Scott Stewart, Cory Goodman; Min-Woo Hyung, Paul Bettany; Cam Gigandet; Maggie Q
002495, A Fish Called Wanda, 1988, Charles Crichton; John Cleese, John Cleese; Charles Crichton, John Cleese; Jamie Lee Curtis; Kevin Kline
002496, Howard the Duck, 1986, Willard Huyck, Steve Gerber; Willard Huyck, Lea Thompson; Jeffrey Jones; Tim Robbins
002497, Four Rooms, 1995, Allison Anders; Alexandre Rockwell, Allison Anders; Alexandre Rockwell, Tim Roth; Amanda De Cadenet; David Proval
002498, Next, 2007, Lee Tamahori, Gary Goldman; Jonathan Hensleigh, Nicolas Cage; Julianne Moore; Jessica Biel
002499, A Perfect Day, 2015, Fernando León de Aranoa, Fernando León de Aranoa; Diego Farias, Benicio Del Toro; Tim Robbins; Olga Kurylenko
002500, The Experiment, 2010, Paul Scheuring, Paul Scheuring; Mario Giordano, Adrien Brody; Cam Gigandet; Forest Whitaker
002501, Ride(I), 2014, Helen Hunt, Helen Hunt, Helen Hunt; Brenton Thwaites; Luke Wilson
002502, Frances Ha, 2012, Noah Baumbach, Noah Baumbach; Greta Gerwig, Greta Gerwig; Mickey Sumner; Adam Driver
002503, The French Connection, 1971, William Friedkin, Ernest Tidyman; Robin Moore, Gene Hackman; Roy Scheider; Fernando Rey
002504, Star Trek: Nemesis, 2002, Stuart Baird, Gene Roddenberry; John Logan, Patrick Stewart; Jonathan Frakes; Brent Spiner
002505, Hausu, 1977, Nobuhiko Ôbayashi, Chiho Katsura; Chigumi Ôbayashi, Kimiko Ikegami; Miki Jinbo; Kumiko Ohba
002506, Revenge of the Nerds, 1984, Jeff Kanew, Tim Metcalfe; Miguel Tejada-Flores, Robert Carradine; Anthony Edwards; Timothy Busfield
002507, Into Thin Air: Death on Everest, 1997, Robert Markowitz, Robert J. Avrech, Peter Horton; Nathaniel Parker; Richard Jenkins
002508, The Island of Dr. Moreau, 1996, John Frankenheimer; Richard Stanley, H.G. Wells; Richard Stanley, David Thewlis; Marlon Brando; Val Kilmer
002509, You've Got Mail, 1998, Nora Ephron, Miklós László; Nora Ephron, Tom Hanks; Meg Ryan; Greg Kinnear
002510, Mr. Brooks, 2007, Bruce A. Evans, Bruce A. Evans; Raynold Gideon, Kevin Costner; Demi Moore; William Hurt
002511, La La Land(I), 2016, Damien Chazelle, Damien Chazelle, Emma Stone; Ryan Gosling; Finn Wittrock
002512, The Immigrant, 2013, James Gray, James Gray; Ric Menello, Marion Cotillard; Joaquin Phoenix; Jeremy Renner
002513, The Change-Up, 2011, David Dobkin, Jon Lucas; Scott Moore, Jason Bateman; Ryan Reynolds; Olivia Wilde
002514, Sleeping Beauty, 1959, Clyde Geronimi, Erdman Penner; Charles Perrault, Mary Costa; Bill Shirley; Eleanor Audley
002515, Alive, 1993, Frank Marshall, Piers Paul Read; John Patrick Shanley, Ethan Hawke; Vincent Spano; Josh Hamilton
002516, Tower Heist, 2011, Brett Ratner, Adam Cooper; Bill Collage, Eddie Murphy; Ben Stiller; Casey Affleck
002517, Falling Down, 1993, Joel Schumacher, Ebbe Roe Smith, Michael Douglas; Robert Duvall; Barbara Hershey
002518, Be Cool, 2005, F. Gary Gray, Elmore Leonard; Peter Steinfeld, John Travolta; Uma Thurman; Dwayne Johnson
002519, Snakes on a Plane, 2006, David R. Ellis, John Heffernan; Sebastian Gutierrez, Samuel L. Jackson; Julianna Margulies; Nathan Phillips
002520, Midnight Cowboy, 1969, John Schlesinger, Waldo Salt; James Leo Herlihy, Dustin Hoffman; Jon Voight; Sylvia Miles
002521, Angels in the Outfield, 1994, William Dear, Dorothy Kingsley; George Wells, Danny Glover; Brenda Fricker; Tony Danza
002522, Hannibal Rising, 2007, Peter Webber, Thomas Harris; Thomas Harris, Gaspard Ulliel; Rhys Ifans; Li Gong
002523, The Colony(I), 2013, Jeff Renfroe, Jeff Renfroe; Svet Rouskov, Kevin Zegers; Laurence Fishburne; Bill Paxton
002524, Mena, 2017, Doug Liman, Gary Spinelli, Tom Cruise; Sarah Wright; Lola Kirke
002525, Matchstick Men, 2003, Ridley Scott, Eric Garcia; Nicholas Griffin, Nicolas Cage; Alison Lohman; Sam Rockwell
002526, Pay It Forward, 2000, Mimi Leder, Catherine Ryan Hyde; Leslie Dixon, Kevin Spacey; Haley Joel Osment; Helen Hunt
002527, Underworld: Rise of the Lycans, 2009, Patrick Tatopoulos, Danny McBride; Dirk Blackman, Rhona Mitra; Michael Sheen; Bill Nighy
002529, Man on a Ledge, 2012, Asger Leth, Pablo F. Fenjves, Sam Worthington; Elizabeth Banks; Jamie Bell
002530, Out of the Dark, 2014, Lluís Quílez, Javier Gullón; David Pastor, Frank Cuervo; Pixie Davies; Alejandro Furth
002531, Emmanuelle, 1974, Just Jaeckin, Emmanuelle Arsan; Jean-Louis Richard, Sylvia Kristel; Alain Cuny; Marika Green
002532, Days of Thunder, 1990, Tony Scott, Robert Towne; Tom Cruise, Tom Cruise; Nicole Kidman; Robert Duvall
002533, Fire with Fire(II), 2012, David Barrett, Tom O'Connor, Josh Duhamel; Bruce Willis; Rosario Dawson
002534, Escape from New York, 1981, John Carpenter, John Carpenter; Nick Castle, Kurt Russell; Lee Van Cleef; Ernest Borgnine
002535, My Cousin Vinny, 1992, Jonathan Lynn, Dale Launer, Joe Pesci; Marisa Tomei; Ralph Macchio
002536, Tears of the Sun, 2003, Antoine Fuqua, Alex Lasker; Patrick Cirillo, Bruce Willis; Cole Hauser; Monica Bellucci
002537, Lovesick(I), 2014, Luke Matheny, Dean Young, Matt LeBlanc; Ali Larter; Adam Rodriguez
002538, George of the Jungle, 1997, Sam Weisman, Jay Ward; Dana Olsen, Brendan Fraser; Leslie Mann; Thomas Haden Church
002539, RoboCop 3, 1993, Fred Dekker, Edward Neumeier; Michael Miner, Nancy Allen; Robert John Burke; Mario Machado
002540, The Rewrite, 2014, Marc Lawrence, Marc Lawrence, Marisa Tomei; Aja Naomi King; J.K. Simmons
002541, The Art of Getting By, 2011, Gavin Wiesen, Gavin Wiesen, Freddie Highmore; Emma Roberts; Michael Angarano
002542, Network, 1976, Sidney Lumet, Paddy Chayefsky, Faye Dunaway; William Holden; Peter Finch
002543, Mr. Holland's Opus, 1995, Stephen Herek, Patrick Sheane Duncan, Richard Dreyfuss; Glenne Headly; Jay Thomas
002544, Black Rock, 2012, Katie Aselton, Mark Duplass; Katie Aselton, Katie Aselton; Lake Bell; Kate Bosworth
002545, Wanderlust, 2012, David Wain, David Wain; Ken Marino, Jennifer Aniston; Paul Rudd; Malin Akerman
002546, Jack the Giant Slayer, 2013, Bryan Singer, Darren Lemke; Christopher McQuarrie, Nicholas Hoult; Stanley Tucci; Ewan McGregor
002547, Detachment, 2011, Tony Kaye, Carl Lund, Adrien Brody; Christina Hendricks; Marcia Gay Harden
002548, Boiling Pot, 2015, Omar Ashmawey, Ibrahim Ashmawey; Omar Ashmawey, Danielle Fishel; Louis Gossett Jr.; M. Emmet Walsh
002549, In Their Skin, 2012, Jeremy Power Regimbal, Joshua Close; Justin Tyler Close, Selma Blair; Joshua Close; James D'Arcy
002550, Fallen, 1998, Gregory Hoblit, Nicholas Kazan, Denzel Washington; John Goodman; Donald Sutherland
002551, Nine, 2009, Rob Marshall, Michael Tolkin; Anthony Minghella, Daniel Day-Lewis; Marion Cotillard; Penélope Cruz
002552, Chasing Amy, 1997, Kevin Smith, Kevin Smith, Ben Affleck; Joey Lauren Adams; Ethan Suplee
002553, The Scorpion King, 2002, Chuck Russell, Stephen Sommers; Jonathan Hales, Dwayne Johnson; Steven Brand; Michael Clarke Duncan
002554, In Dubious Battle, 2016, James Franco, Matt Rager; Matt Rager, Selena Gomez; James Franco; Nat Wolff
002555, Demolition Man, 1993, Marco Brambilla, Peter M. Lenkov; Robert Reneau, Sylvester Stallone; Wesley Snipes; Sandra Bullock
002556, 9 Songs, 2004, Michael Winterbottom, Michael Winterbottom, Kieran O'Brien; Margo Stilley; The Dandy Warhols
002557, What's Your Number?, 2011, Mark Mylod, Gabrielle Allan; Jennifer Crittenden, Anna Faris; Chris Evans; Ari Graynor
002558, Letters to Juliet, 2010, Gary Winick, Jose Rivera; Tim Sullivan, Amanda Seyfried; Gael García Bernal; Vanessa Redgrave
002559, A Good Old Fashioned Orgy, 2011, Alex Gregory; Peter Huyck, Alex Gregory; Peter Huyck, Jason Sudeikis; Leslie Bibb; Tyler Labine
002560, Son of Frankenstein, 1939, Rowland V. Lee, Mary Shelley; Wyllis Cooper, Boris Karloff; Basil Rathbone; Bela Lugosi
002561, Good People, 2014, Henrik Ruben Genz, Marcus Sakey; Kelly Masterson, James Franco; Kate Hudson; Tom Wilkinson
002562, The Ringer, 2005, Barry W. Blaustein, Ricky Blitt, Johnny Knoxville; Katherine Heigl; Brian Cox
002563, True Crimes, 2016, Alexandros Avranas, Jeremy Brock, Jim Carrey
002564, Monsters: Dark Continent, 2014, Tom Green, Tom Green; Jay Basu, Johnny Harris; Sam Keeley; Joe Dempsie
002565, House at the End of the Street, 2012, Mark Tonderai, David Loucka; Jonathan Mostow, Jennifer Lawrence; Elisabeth Shue; Max Thieriot
002566, Fool's Gold(I), 2008, Andy Tennant, John Claflin; Daniel Zelman, Matthew McConaughey; Kate Hudson; Donald Sutherland
002567, Reign of Fire, 2002, Rob Bowman, Gregg Chabot; Kevin Peterka, Matthew McConaughey; Christian Bale; Izabella Scorupco
002568, Hunger, 2008, Steve McQueen, Enda Walsh; Steve McQueen, Stuart Graham; Laine Megaw; Brian Milligan
002569, The Time Machine, 2002, Simon Wells, H.G. Wells; David Duncan, Guy Pearce; Yancey Arias; Mark Addy
002570, October Sky, 1999, Joe Johnston, Homer H. Hickam Jr.; Lewis Colick, Jake Gyllenhaal; Chris Cooper; Laura Dern
002571, The Seventh Seal, 1957, Ingmar Bergman, Ingmar Bergman; Ingmar Bergman, Max von Sydow; Gunnar Björnstrand; Bengt Ekerot
002572, The Free State of Jones, 2016, Gary Ross, Gary Ross, Matthew McConaughey; Keri Russell; Gugu Mbatha-Raw
002573, Ever After: A Cinderella Story, 1998, Andy Tennant, Susannah Grant; Andy Tennant, Drew Barrymore; Anjelica Huston; Dougray Scott
002574, Ray(I), 2004, Taylor Hackford, Taylor Hackford; James L. White, Jamie Foxx; Regina King; Kerry Washington
002575, Borgman, 2013, Alex van Warmerdam, Alex van Warmerdam, Jan Bijvoet; Hadewych Minis; Jeroen Perceval
002576, Live and Let Die, 1973, Guy Hamilton, Tom Mankiewicz, Roger Moore; Yaphet Kotto; Jane Seymour
002577, I'm Not There., 2007, Todd Haynes, Todd Haynes; Oren Moverman, Christian Bale; Cate Blanchett; Heath Ledger
002578, Planes, 2013, Klay Hall, John Lasseter; Klay Hall, Carlos Alazraqui; Dane Cook; Stacy Keach
002579, Kung Fu Hustle, 2004, Stephen Chow, Man Keung Chan; Stephen Chow, Stephen Chow; Wah Yuen; Qiu Yuen
002580, Holding the Man, 2015, Neil Armfield, Tommy Murphy, Guy Pearce; Geoffrey Rush; Sarah Snook
002581, The Fourth Kind, 2009, Olatunde Osunsanmi, Olatunde Osunsanmi; Olatunde Osunsanmi, Milla Jovovich; Elias Koteas; Will Patton
002582, Mask, 1985, Peter Bogdanovich, Anna Hamilton Phelan, Cher; Eric Stoltz; Sam Elliott
002583, Romancing the Stone, 1984, Robert Zemeckis, Diane Thomas, Michael Douglas; Kathleen Turner; Danny DeVito
002584, Dream House, 2011, Jim Sheridan, David Loucka, Daniel Craig; Rachel Weisz; Naomi Watts
002585, Charade, 1963, Stanley Donen, Peter Stone; Peter Stone, Cary Grant; Audrey Hepburn; Walter Matthau
002586, Swordfish, 2001, Dominic Sena, Skip Woods, John Travolta; Hugh Jackman; Halle Berry
002587, Kis Uykusu, 2014, Nuri Bilge Ceylan, Ebru Ceylan; Nuri Bilge Ceylan, Haluk Bilginer; Melisa Sözen; Demet Akbag
002588, Real Genius, 1985, Martha Coolidge, Neal Israel; Neal Israel, Val Kilmer; Gabriel Jarret; Michelle Meyrink
002589, Life After Beth, 2014, Jeff Baena, Jeff Baena, Aubrey Plaza; Dane DeHaan; John C. Reilly
002590, Anger Management, 2003, Peter Segal, David Dorfman, Jack Nicholson; Adam Sandler; Marisa Tomei
002591, The Pledge(I), 2001, Sean Penn, Friedrich Dürrenmatt; Jerzy Kromolowski, Jack Nicholson; Benicio Del Toro; Patricia Clarkson
002592, From Russia with Love, 1963, Terence Young, Richard Maibaum; Johanna Harwood, Sean Connery; Robert Shaw; Lotte Lenya
002593, The More the Merrier, 1943, George Stevens, Robert Russell; Frank Ross, Jean Arthur; Joel McCrea; Charles Coburn
002594, After the Dark, 2013, John Huddles, John Huddles, James D'Arcy; Sophie Lowe; Daryl Sabara
002595, Barry Lyndon, 1975, Stanley Kubrick, Stanley Kubrick; William Makepeace Thackeray, Ryan O'Neal; Marisa Berenson; Patrick Magee
002596, Weekend at Bernie's, 1989, Ted Kotcheff, Robert Klane, Andrew McCarthy; Jonathan Silverman; Catherine Mary Stewart
002597, Jack and Jill(I), 2011, Dennis Dugan, Steve Koren; Adam Sandler, Adam Sandler; Katie Holmes; Al Pacino
002598, Save the Last Dance, 2001, Thomas Carter, Duane Adler; Duane Adler, Julia Stiles; Sean Patrick Thomas; Kerry Washington
002599, Get Him to the Greek, 2010, Nicholas Stoller, Nicholas Stoller; Jason Segel, Jonah Hill; Russell Brand; Elisabeth Moss
002600, Song One, 2014, Kate Barker-Froyland, Kate Barker-Froyland, Anne Hathaway; Johnny Flynn; Mary Steenburgen
002601, Licence to Kill, 1989, John Glen, Michael G. Wilson; Richard Maibaum, Timothy Dalton; Robert Davi; Carey Lowell
002602, The Railway Man, 2013, Jonathan Teplitzky, Frank Cottrell Boyce; Andy Paterson, Colin Firth; Nicole Kidman; Stellan Skarsgård
002603, Bride of Chucky, 1998, Ronny Yu, Don Mancini; Don Mancini, Jennifer Tilly; Brad Dourif; Katherine Heigl
002604, Centurion, 2010, Neil Marshall, Neil Marshall, Michael Fassbender; Dominic West; Olga Kurylenko
002605, Cymbeline, 2014, Michael Almereyda, Michael Almereyda; William Shakespeare, Ethan Hawke; Ed Harris; Milla Jovovich
002606, Life of Crime, 2013, Daniel Schechter, Daniel Schechter; Elmore Leonard, Jennifer Aniston; Yasiin Bey; Isla Fisher
002607, 31, 2016, Rob Zombie, Rob Zombie, Sheri Moon Zombie; Malcolm McDowell; Elizabeth Daily
002608, Step Up 2: The Streets, 2008, Jon M. Chu, Toni Ann Johnson; Karen Barna, Robert Hoffman; Briana Evigan; Cassie Ventura
002609, The Kids Are All Right, 2010, Lisa Cholodenko, Lisa Cholodenko; Stuart Blumberg, Annette Bening; Julianne Moore; Mark Ruffalo
002610, Private Resort, 1985, George Bowers, Gordon Mitchell; Ken Segall, Rob Morrow; Johnny Depp; Emily Longstreth
002611, Evil Dead II, 1987, Sam Raimi, Sam Raimi; Scott Spiegel, Bruce Campbell; Sarah Berry; Dan Hicks
002612, Doubt(I), 2008, John Patrick Shanley, John Patrick Shanley; John Patrick Shanley, Meryl Streep; Philip Seymour Hoffman; Amy Adams
002613, Sully, , Clint Eastwood, Todd Komarnicki; Chesley Sullenberger, Tom Hanks; Laura Linney; Aaron Eckhart
002614, The Fog, 2005, Rupert Wainwright, Cooper Layne; John Carpenter, Tom Welling; Maggie Grace; Selma Blair
002615, Carnage, 2011, Roman Polanski, Yasmina Reza; Yasmina Reza, Jodie Foster; Kate Winslet; Christoph Waltz
002616, Upstream Color, 2013, Shane Carruth, Shane Carruth, Amy Seimetz; Frank Mosley; Shane Carruth
002617, Lady Chatterley's Lover, 2015, Jed Mercurio, D.H. Lawrence; Jed Mercurio, Holliday Grainger; Richard Madden; James Norton
002618, Cold in July, 2014, Jim Mickle, Nick Damici; Joe R. Lansdale, Michael C. Hall; Sam Shepard; Don Johnson
002619, I'm Still Here(I), 2010, Casey Affleck, Casey Affleck; Joaquin Phoenix, Joaquin Phoenix; Antony Langdon; Carey Perloff
002620, The Battle of Shaker Heights, 2003, Efram Potelle; Kyle Rankin, Erica Beeney, Shia LaBeouf; Elden Henson; Amy Smart
002621, Water for Elephants, 2011, Francis Lawrence, Richard LaGravenese; Sara Gruen, Robert Pattinson; Reese Witherspoon; Christoph Waltz
002622, The 'Burbs, 1989, Joe Dante, Dana Olsen, Tom Hanks; Bruce Dern; Carrie Fisher
002623, Gremlins 2: The New Batch, 1990, Joe Dante, Chris Columbus; Charles S. Haas, Zach Galligan; Phoebe Cates; John Glover
002624, The Rover, 2014, David Michôd, Joel Edgerton; David Michôd, Guy Pearce; Robert Pattinson; Scoot McNairy
002625, Godzilla(I), 1998, Roland Emmerich, Dean Devlin; Roland Emmerich, Matthew Broderick; Jean Reno; Maria Pitillo
002626, Boys Don't Cry, 1999, Kimberly Peirce, Kimberly Peirce; Andy Bienen, Hilary Swank; Chloë Sevigny; Peter Sarsgaard
002627, Kaze tachinu, 2013, Hayao Miyazaki, Hayao Miyazaki; Hayao Miyazaki, Hideaki Anno; Hidetoshi Nishijima; Miori Takimoto
002628, The Inbetweeners Movie, 2011, Ben Palmer, Iain Morris; Damon Beesley, James Buckley; Blake Harrison; Joe Thomas
002629, Clash of the Titans, 1981, Desmond Davis, Beverley Cross, Laurence Olivier; Harry Hamlin; Claire Bloom
002630, Forever(II), 2015, Tatia Pilieva, Gill Dennis; Tatia Pilieva, Deborah Ann Woll; Luke Grimes; John Diehl
002631, The Kingdom, 2007, Peter Berg, Matthew Michael Carnahan, Jamie Foxx; Chris Cooper; Jennifer Garner
002632, The Runaways, 2010, Floria Sigismondi, Floria Sigismondi; Cherie Currie, Kristen Stewart; Dakota Fanning; Michael Shannon
002633, Bolt, 2008, Byron Howard; Chris Williams, Dan Fogelman; Chris Williams, John Travolta; Miley Cyrus; Susie Essman
002634, MASH, 1970, Robert Altman, Richard Hooker; Ring Lardner Jr., Donald Sutherland; Elliott Gould; Tom Skerritt
002635, Starry Eyes, 2014, Kevin Kolsch; Dennis Widmyer, Kevin Kolsch; Dennis Widmyer, Alex Essoe; Amanda Fuller; Noah Segan
002636, Better Off Dead..., 1985, Savage Steve Holland, Savage Steve Holland, John Cusack; David Ogden Stiers; Kim Darby
002637, Gold(I), 2016, Stephen Gaghan, Stephen Gaghan; Patrick Massett, Bryce Dallas Howard; Matthew McConaughey; Rachael Taylor
002638, To the Wonder, 2012, Terrence Malick, Terrence Malick, Ben Affleck; Olga Kurylenko; Javier Bardem
002639, James White, 2015, Josh Mond, , Christopher Abbott; Cynthia Nixon; Scott Mescudi
002640, Beerfest, 2006, Jay Chandrasekhar, Jay Chandrasekhar; Kevin Heffernan, Jay Chandrasekhar; Kevin Heffernan; Steve Lemme
002641, The Last Five Years, 2014, Richard LaGravenese, Jason Robert Brown; Richard LaGravenese, Anna Kendrick; Jeremy Jordan; Tamara Mintz
002642, Dick Tracy, 1990, Warren Beatty, Chester Gould; Jim Cash, Warren Beatty; Madonna; Al Pacino
002643, A Serious Man, 2009, Ethan Coen; Joel Coen, Joel Coen; Ethan Coen, Michael Stuhlbarg; Richard Kind; Sari Lennick
002644, Careful What You Wish For, 2015, Elizabeth Allen Rosenbaum, Chris Frisina, Graham Rogers; Isabel Lucas; Nick Jonas
002645, Following, 1998, Christopher Nolan, Christopher Nolan, Jeremy Theobald; Alex Haw; Lucy Russell
002646, The Simpsons Movie, 2007, David Silverman, James L. Brooks; Matt Groening, Dan Castellaneta; Julie Kavner; Nancy Cartwright
002647, Bessie, 2015, Dee Rees, Dee Rees; Christopher Cleveland, Michael Kenneth Williams; Queen Latifah; Bryan Greenberg
002648, Rachel Getting Married, 2008, Jonathan Demme, Jenny Lumet, Anne Hathaway; Rosemarie DeWitt; Debra Winger
002649, Spy Kids: All the Time in the World in 4D, 2011, Robert Rodriguez, Robert Rodriguez, Jessica Alba; Jeremy Piven; Joel McHale
002650, Killers, 2010, Robert Luketic, Bob DeRosa; Ted Griffin, Katherine Heigl; Ashton Kutcher; Tom Selleck
002651, Snitch(I), 2013, Ric Roman Waugh, Justin Haythe; Ric Roman Waugh, Dwayne Johnson; Susan Sarandon; Jon Bernthal
002652, Carlito's Way, 1993, Brian De Palma, Edwin Torres; David Koepp, Al Pacino; Sean Penn; Penelope Ann Miller
002653, Diamonds Are Forever, 1971, Guy Hamilton, Richard Maibaum; Tom Mankiewicz, Sean Connery; Jill St. John; Charles Gray
002654, Closer to the Moon, 2014, Nae Caranfil, Nae Caranfil, Vera Farmiga; Mark Strong; Harry Lloyd
002655, Qu'est-ce qu'on a fait au Bon Dieu?, 2014, Philippe de Chauveron, Philippe de Chauveron; Guy Laurent, Christian Clavier; Chantal Lauby; Ary Abittan
002656, Monsters, 2010, Gareth Edwards, Gareth Edwards, Scoot McNairy; Whitney Able; Mario Zuniga Benavides
002657, ATL, 2006, Chris Robinson, Tina Gordon Chism; Antwone Fisher, T.I.; Lauren London; Evan Ross
002658, Red State, 2011, Kevin Smith, Kevin Smith, Michael Parks; Melissa Leo; John Goodman
002659, Stalker, 1979, Andrei Tarkovsky, Arkadiy Strugatskiy; Boris Strugatskiy, Alisa Freyndlikh; Aleksandr Kaydanovskiy; Anatoliy Solonitsyn
002660, Manhunter, 1986, Michael Mann, Thomas Harris; Michael Mann, William Petersen; Kim Greist; Joan Allen
002661, Cloudy with a Chance of Meatballs 2, 2013, Cody Cameron; Kris Pearn, Erica Rivinoja; John Francis Daley, Bill Hader; Anna Faris; Will Forte
002662, The Dark Crystal, 1982, Jim Henson; Frank Oz, David Odell; Jim Henson, Jim Henson; Kathryn Mullen; Frank Oz
002663, The Hottie &amp; the Nottie, 2008, Tom Putnam, Heidi Ferrer, Paris Hilton; Joel David Moore; Christine Lakin
002664, Premature, 2014, Dan Beers, Dan Beers; Mathew Harawitz, Katie Findlay; Alan Tudyk; Carlson Young
002665, Poseidon, 2006, Wolfgang Petersen, Mark Protosevich; Paul Gallico, Richard Dreyfuss; Kurt Russell; Emmy Rossum
002666, Escape from Alcatraz, 1979, Don Siegel, J. Campbell Bruce; Richard Tuggle, Clint Eastwood; Patrick McGoohan; Roberts Blossom
002667, Paths of Glory, 1957, Stanley Kubrick, Stanley Kubrick; Calder Willingham, Kirk Douglas; Ralph Meeker; Adolphe Menjou
002668, Very Good Girls, 2013, Naomi Foner, Naomi Foner, Dakota Fanning; Elizabeth Olsen; Sterling Jones
002669, Reclaim, 2014, Alan White, Luke Davies; Carmine Gaeta, John Cusack; Ryan Phillippe; Rachelle Lefevre
002670, Broken City, 2013, Allen Hughes, Brian Tucker, Mark Wahlberg; Russell Crowe; Catherine Zeta-Jones
002671, Species, 1995, Roger Donaldson, Dennis Feldman, Natasha Henstridge; Michael Madsen; Ben Kingsley
002672, Habitación en Roma, 2010, Julio Medem, Katherine Fugate; Julio Medem, Elena Anaya; Natasha Yarovenko; Enrico Lo Verso
002673, The Edge, 1997, Lee Tamahori, David Mamet, Anthony Hopkins; Alec Baldwin; Elle Macpherson
002674, Shark Tale, 2004, Bibo Bergeron; Vicky Jenson, Michael J. Wilson; Rob Letterman, Will Smith; Robert De Niro; Renée Zellweger
002675, The Roommate(I), 2011, Christian E. Christiansen, Sonny Mallhi; Nick Bylsma, Minka Kelly; Leighton Meester; Cam Gigandet
002676, Dying of the Light, 2014, Paul Schrader, Paul Schrader, Nicolas Cage; Anton Yelchin; Alexander Karim
002677, The Mexican, 2001, Gore Verbinski, J.H. Wyman, Brad Pitt; Julia Roberts; James Gandolfini
002678, Posthumous(I), 2014, Lulu Wang, Lulu Wang, Jack Huston; Brit Marling; Alexander Fehling
002679, Hitchcock, 2012, Sacha Gervasi, John J. McLaughlin; Stephen Rebello, Anthony Hopkins; Helen Mirren; Scarlett Johansson
002680, Ruby Sparks, 2012, Jonathan Dayton; Valerie Faris, Zoe Kazan, Paul Dano; Zoe Kazan; Annette Bening
002681, Whip It, 2009, Drew Barrymore, Shauna Cross; Shauna Cross, Ellen Page; Drew Barrymore; Kristen Wiig
002682, The Score, 2001, Frank Oz, Daniel E. Taylor; Kario Salem, Robert De Niro; Edward Norton; Marlon Brando
002683, Disconnect(I), 2012, Henry Alex Rubin, Andrew Stern, Jason Bateman; Jonah Bobo; Haley Ramm
002684, Sexy Beast, 2000, Jonathan Glazer, Louis Mellis; David Scinto, Ray Winstone; Ben Kingsley; Ian McShane
002685, Ying xiong, 2002, Yimou Zhang, Feng Li; Bin Wang, Jet Li; Tony Chiu Wai Leung; Maggie Cheung
002686, Elektra, 2005, Rob Bowman, Mark Steven Johnson; Frank Miller, Jennifer Garner; Goran Visnjic; Will Yun Lee
002687, Final Destination 5, 2011, Steven Quale, Eric Heisserer; Jeffrey Reddick, Nicholas D'Agosto; Emma Bell; Arlen Escarpeta
