ID,Title,Author,Price,Edition,ASIN,ISBN_13,ISBN_10,Paperback,Series,Publisher_dummy,Publisher,Publication_Date,Sold_by,Language,Product Dimensions,Shipping Weight
737,The Hard Disc Companion,Peter Norton# Robert Jourdain,$2.64 ,,,978-0133837612,133837610,192 pages,,Longman Higher Education ,Longman Higher Education,,,English,9.1 x 7.3 x 1.2 inches,1.8 pounds
738,DevOps for VMware Administrators ,Trevor A. Roberts Jr.# Josh Atwell# Egle Sigler# Yvo van Doorn,$31.19 ,1st Edition,,978-0133846478,133846474,384 pages,VMware Press Technology,VMware Press,VMware Press,,,English,6.9 x 1 x 9 inches,1.3 pounds (View shipping rates and policies)
739,Essential Virtual SAN ,Cormac Hogan# Duncan Epping,$31.19 ,1st Edition,,978-0133854992,013385499X,320 pages,VMware Press Technology,VMware Press,VMware Press,,,English,7 x 0.9 x 9.1 inches,13.6 ounces (View shipping rates and policies)
740,Cloud Computing Design Patterns ,Thomas Erl# Robert Cope# Amin Naserpour# Robert Cope,$31.19 ,1st Edition,,978-0133858563,133858561,,The Prentice Hall Service Technology Series from Thomas Erl,Prentice Hall,Prentice Hall,,,English,7.1 x 1.4 x 9 inches,2.4 pounds (View shipping rates and policies)
741,"Service-Oriented Architecture: Concepts, Technology, and Design ",Thomas Erl,$41.64 ,2nd Edition,,,,,,,,,,,,
742,Next Generation SOA: A Concise Introduction to Service Technology & Service-Orientation ,Thomas Erl# Pethuru Chelliah# Clive Gee# Pethuru Chelliah# Jürgen Kress# Clive Gee# Berthold Maier# Jürgen Kress# Hajo Normann# Berthold Maier# Leo Shuster# Hajo Normann# Bernd Trops# Leo Shuster# Clemens Utschig# Bernd Trops# Philip Wik# Torsten Winterberg,$9.99 ,1st Edition,,978-0133859041,133859045,208 pages,The Prentice Hall Service Technology Series from Thomas Erl,Prentice Hall,Prentice Hall,,,English,7 x 0.7 x 9 inches,12.6 ounces (View shipping rates and policies)
743,"Computer Literacy for IC3, Unit 2: Using Productivity Software, Update to Office 2013 & Windows 8.1.1 ",Robert Ferrett# John Preston# Robert Ferrett# Sally Preston# John Preston,$54.31 ,2nd Edition,,978-0133869590,133869598,,,Prentice Hall,Prentice Hall,,,English,9 x 1.1 x 10.8 inches,2.8 pounds (View shipping rates and policies)
744,MyITLab with Pearson eText -- Access Card -- for Skills with Visualizing Technology,Debra Geoghan,$111.96 ,3rd Edition,,978-0133881011,133881016,,,Prentice Hall,Prentice Hall,,,English,6.4 x 0.1 x 8.9 inches,1.6 ounces (View shipping rates and policies)
745,MyITLab with Pearson eText -- Access Card -- for Exploring with Visualizing Technology,Debra Geoghan,$143.33 ,3rd Edition,,978-0133881028,133881024,,,Prentice Hall,Prentice Hall,,,English,6.4 x 0.1 x 8.9 inches,0.3 ounces (View shipping rates and policies)
746,Web and Network Data Science: Modeling Techniques in Predictive Analytics ,Thomas W. Miller,$60.50 ,1st Edition,,978-0133886443,133886441,,FT Press Analytics,Pearson FT Press,Pearson FT Press,,,English,7.1 x 1.2 x 9.2 inches,1.8 pounds (View shipping rates and policies)
747,The Best Interface Is No Interface: The simple path to brilliant technology ,Golden Krishna,$15.49 ,1st Edition,,978-0133890334,133890333,256 pages,Voices That Matter,New Riders,New Riders,,,English,6 x 0.6 x 8.9 inches,12.8 ounces (View shipping rates and policies)
748,"Exploring Microsoft Office 2013, Volume 1 & Technology In Action, Introductory & MyITLab with Pearson eText -- Access Card -- for Exploring with Technology In Action Package",MaryAnne Poatsy# Keith Mulbery# MaryAnne Poatsy# Cynthia Krebs# Keith Mulbery# Lynn Hogan# Cynthia Krebs# Amy M. Rutledge# Lynn Hogan# Robert T. Grauer# Amy M. Rutledge,$120.32 - $173.99,1st Edition,,978-0133900323,133900320,,Exploring,Prentice Hall,Prentice Hall,,,English,9.9 x 2.7 x 11 inches,6.6 pounds (View shipping rates and policies)
749,"Exploring Microsoft Office 2013, Volume 1 & Visualizing Technology, Complete & MyITLab with Pearson eText -- Access Card Package",MaryAnne Poatsy# Keith Mulbery# MaryAnne Poatsy# Cynthia Krebs# Keith Mulbery# Lynn Hogan# Cynthia Krebs# Amy M. Rutledge# Lynn Hogan# Robert T. Grauer# Amy M. Rutledge,$110.67 - $205.33,1st Edition,,978-0133936391,133936392,,,Prentice Hall,Prentice Hall,,,English,10.3 x 2.5 x 10.9 inches,7.6 pounds (View shipping rates and policies)
750,"Exploring Microsoft Office 2013, Volume 1 & Technology In Action, Complete & Office 365 Home Premium Academic 180-Day Trial Access Card Fall 2014, ... Exploring with Technology In Action Package",MaryAnne Poatsy# Keith Mulbery# MaryAnne Poatsy# Cynthia Krebs# Keith Mulbery# Lynn Hogan# Cynthia Krebs# Amy M. Rutledge# Lynn Hogan# Robert T. Grauer# Amy M. Rutledge,$204.54 - $222.67,1st Edition,,978-0133975468,133975460,,Exploring,Prentice Hall,Prentice Hall,,,English,10 x 2.7 x 11.1 inches,7.6 pounds (View shipping rates and policies)
751,"Microsoft Office for iPad: An Essential Guide to Microsoft Word, Excel, PowerPoint, and OneDrive",Tom Negrino,$9.99 ,1st Edition,,978-0133988703,133988708,240 pages,,Peachpit Press,Peachpit Press,,,English,7 x 0.5 x 8.9 inches,15.5 ounces (View shipping rates and policies)
752,Effective Computer Display Design,William W. Banks# Jon Weimer,$12.87 ,,,978-0134010274,134010272,,,Prentice Hall,Prentice Hall,,,English,0.8 x 8.8 x 11.5 inches,2.2 pounds
753,Embedded Programming with Android: Bringing Up an Android System from Scratch ,Roger Ye,$25.59 ,1st Edition,,978-0134030005,134030001,400 pages,Android Deep Dive,Addison-Wesley Professional,Addison-Wesley Professional,,,English,7 x 1 x 8.9 inches,12.6 ounces (View shipping rates and policies)
754,Computer Literacy Certification with Office 15: Unit 1,Robert Ferrett# John Preston# Robert Ferrett# Sally Preston# John Preston,$62.44 ,,,,,,,,,,,,,
755,The Best Thinking in Business Analytics from the Decision Sciences Institute ,Decision Sciences Institute# Merrill Warkentin,$75.99 ,1st Edition,,978-0134072951,134072952,,FT Press Analytics,Pearson FT Press,Pearson FT Press,,,English,7 x 1 x 9.2 inches,1.4 pounds (View shipping rates and policies)
756,MyITLab with Pearson eText -- Access Card -- for Exploring with Technology In Action,Alan Evans# Kendall Martin# Alan Evans# MaryAnne Poatsy# Kendall Martin,$126.08 - $134.41,12th Edition,,978-0134139265,134139267,,,Prentice Hall,Prentice Hall,,,English,6.5 x 9 inches,1.4 ounces (View shipping rates and policies)
757,MyITLab with Pearson eText --  Access Card -- for Visualizing Technology,Debra Geoghan,$106.77 - $119.33,4th Edition,,978-0134139654,134139658,,,Prentice Hall,Prentice Hall,,,English,6.4 x 8.9 inches,0.3 ounces (View shipping rates and policies)
758,Essential C# 6.0 ,Mark Michaelis# Eric Lippert# Mark Michaelis,$37.67 ,5th Edition,,978-0134141046,134141040,1008 pages,Addison-Wesley Microsoft Technology Series,Addison-Wesley Professional,Addison-Wesley Professional,,,English,7 x 2.2 x 9 inches,12.6 ounces (View shipping rates and policies)
759,MyITLab with Pearson eText --  Access Card -- for Skills with Visualizing Technology,Debra Geoghan,$128.99 ,4th Edition,,978-0134150314,134150317,,My It Lab,Prentice Hall,Prentice Hall,,,English,6.5 x 9 inches,1.6 ounces (View shipping rates and policies)
760,"Big Data Fundamentals: Concepts, Drivers, and Techniques ",Thomas Erl# Wajid Khattak# Thomas Erl# Paul Buhler# Wajid Khattak,$39.99 ,1st Edition,,,,,,,,,,,,
761,"Windows System Programming, Paperback ",Johnson M. Hart,$47.39 ,4th Edition,,978-0134382258,134382250,656 pages,Addison-Wesley Microsoft Technology Series,Addison-Wesley Professional,Addison-Wesley Professional,,,English,7.3 x 1.5 x 8.9 inches,12.6 ounces (View shipping rates and policies)
762,Mobile and Wireless Networks,Uyless Black,$0.40 ,,,978-0134405469,134405463,,Prentice Hall Series in Advanced Communications Technologies,Prentice Hall,Prentice Hall,,,English,0.8 x 7.2 x 9.5 inches,1.7 pounds
763,The Smalltalk Developer's Guide to VisualWorks With diskette ,Tim Howard# Adele Goldberg,$1.77 ,,,978-0134425269,013442526X,648 pages,SIGS,SIGS,SIGS,,,English,7 x 1.4 x 9 inches,2.2 pounds
764,The Simple Book: An Introduction to Networking Management ,Marshall T. Rose,$0.00 ,2nd Edition,,978-0134516592,134516591,,Prentice Hall Series in Innovative Technology,Prentice Hall,Prentice Hall,,,English,1.5 x 7.5 x 9.8 inches,2 pounds
765,Zen and the Art of the Internet: A Beginner's Guide ,Brendan P. Kehoe,$0.00 ,4 Sub Edition,,978-0134529141,134529146,255 pages,Prentice Hall Series in Innovative Technology,Prentice Hall Ptr,Prentice Hall Ptr,,,English,1 x 7 x 9.2 inches,1.3 pounds
766,"Design and Implementation of Intelligent Manufacturing Systems: From Expert Systems, Neural Networks, to Fuzzy Logic",Mohammed Jamshidi# Hamid R. Parsaei# Mohammed Jamshidi,$72.49 ,1st Edition,,978-0134582177,134582179,408 pages,,Prentice Hall,Prentice Hall,,,English,7 x 1 x 9.3 inches,2 pounds (View shipping rates and policies)
767,Industrial Robots: Computer Interfacing and Control ,Wesley E. Snyder,$38.06 , ,,978-0134631592,134631595,,Prentice-Hall Industrial Robots Series,Prentice Hall ,Prentice Hall,,,English,9 x 6.2 x 0.9 inches,1.4 pounds
768,Interfacing Sensors to the IBM-PC,Willis J. Tompkins# John G. Webster,$66.06 ,1st Edition,,978-0134690810,134690818,400 pages,,Prentice Hall,Prentice Hall,,,English,7 x 1.2 x 9 inches,2.1 pounds (View shipping rates and policies)
769,Computer-Aided Design and Manufacturing,Farid M. L. Amirouche,$0.77 , ,,978-0134723419,134723414,,,Prentice Hall College Div ,Prentice Hall College Div,,,English,1 x 7.2 x 9.5 inches,2 pounds
770,Object Lessons: Lessons Learned in Object-Oriented Development Projects ,Tom Love,$6.63 - $69.99,1st Edition,,978-0134724324,134724321,292 pages,SIGS,SIGS,SIGS,,,English,7 x 0.6 x 9 inches,1.2 pounds (View shipping rates and policies)
771,An Introduction to Computer Logic ,H. Troy Nagle,$32.42 ,1St Edition Edition,,978-0134800127,134800125,,Prentice-Hall computer applications in electrical engineering series,Prentice Hall,Prentice Hall,,,English,1.2 x 6 x 9.2 inches,2 pounds
772,Principles of Communication Systems Simulation with Wireless Applications,William H. Tranter# K. Sam Shanmugan# William H. Tranter# Theodore S. Rappaport# Kurt L. Kosbar,$163.05 ,1st Edition,,978-0134947907,134947908,800 pages,,Prentice Hall,Prentice Hall,,,English,7.3 x 1.7 x 9.5 inches,3.1 pounds (View shipping rates and policies)
773,Signals and Systems: Continuous and Discrete ,Rodger E. Ziemer# William H Tranter# D. R. Fannin# William H Tranter,$70.98 - $168.17,4th Edition,,978-0134964560,013496456X,,,Prentice Hall,Prentice Hall,,,English,7 x 1.6 x 9.3 inches,2.5 pounds (View shipping rates and policies)
774,Wisdom of the Gurus: A Vision for Object Technology ,Charles F. Bowman# Richard Wiener# Charles F. Bowman,$3.96 - $74.99,1st Edition,,978-0134998497,134998499,468 pages,SIGS Reference Library (Book 8),SIGS,SIGS,,,English,6 x 0.9 x 9 inches,1.6 pounds (View shipping rates and policies)
775,Engineering Drawing Problems Workbook ,Karen R. Juneau# Paige R. Davis# Karen R. Juneau,$10.39 - $37.64,14th Edition,,978-0135024775,135024773,288 pages,Engineering Drawing Problems Workbook,Peachpit Press,Peachpit Press,,,English,8.4 x 0.7 x 10.7 inches,1.2 pounds (View shipping rates and policies)
776,"Computers Are Your Future, Complete ",Diane M. Coyle,$0.01 ,10th Edition,,978-0135045114,135045118,608 pages,,Prentice Hall,Prentice Hall,,,English,8.5 x 0.7 x 10.8 inches,2.7 pounds
777,Computers,Larry Long# Nancy Long,$9.72 ,4 Bri Sub Edition,,978-0135071878,135071879,256 pages,,Prentice Hall College Div,Prentice Hall College Div,,,English,0.5 x 8.5 x 11 inches,1.4 pounds
778,"Technology In Action, Complete Value Pack ",Alan Evans# Mary Anne Poatsy# Alan Evans# Kendall Martin# Mary Anne Poatsy,$5.00 , ,,978-0135073452,135073456,,,Prentice Hall ,Prentice Hall,,,English,8.5 x 1.3 x 10.9 inches,3.8 pounds
779,Exploring Microsoft Office PowerPoint 2010 Introductory ,Robert T. Grauer# Mary Anne Poatsy# Cynthia Krebs# Mary Anne Poatsy# Lynn Hogan# Cynthia Krebs# Rebecca Lawson# Lynn Hogan,$9.99 ,1st Edition,,978-0135091395,013509139X,,Custom Phit,Prentice Hall,Prentice Hall,,,English,8.7 x 0.7 x 10.8 inches,1.5 pounds
780,"Computers Are Your Future: Introductory, 11th Edition",Catherine Laberta,$8.95 ,11th Edition,,978-0135092811,135092817,448 pages,,Prentice Hall,Prentice Hall,,,English,8.7 x 0.6 x 10.9 inches,2.2 pounds
781,GO! with Microsoft Excel 2010 Introductory,Shelley Gaskin# Alicia Vargas# Suzanne Marks# Alicia Vargas,$44.75 - $91.12,1st Edition,,978-0135098141,135098149,,GO!,Prentice Hall,Prentice Hall,,,English,9 x 1 x 10.7 inches,2.1 pounds (View shipping rates and policies)
782,"GO! with Microsoft Excel 2010, Comprehensive",Shelley Gaskin# Alicia Vargas# Suzanne Marks# Alicia Vargas,$32.00 - $117.42,1st Edition,,978-0135098219,135098211,,GO!,Prentice Hall,Prentice Hall,,,English,9.3 x 1.2 x 10.9 inches,3.4 pounds (View shipping rates and policies)
783,Exploring Microsoft Office Excel 2010 Introductory,Robert T. Grauer# Mary Anne Poatsy# Keith Mulbery# Mary Anne Poatsy# Lynn Hogan# Keith Mulbery,$5.81 ,1st Edition,,978-0135098479,135098475,,Exploring,Prentice Hall,Prentice Hall,,,English,8.8 x 0.5 x 10.8 inches,1.6 pounds
784,myitlab with Pearson eText -- Access Card -- for Exploring Microsoft Office 2010,Pearson Education,$0.00 ,1st Edition,,978-0135107140,135107148,,,Prentice Hall,Prentice Hall,,,English,6.5 x 0.1 x 9.1 inches,2.4 ounces
785,BroadBand Integrated Networks,Mischa Schwartz,$61.73 - $103.33,1st Edition,,978-0135192405,135192404,504 pages,,Prentice Hall,Prentice Hall,,,English,7 x 0.9 x 9.2 inches,1.4 pounds (View shipping rates and policies)
786,"Fuzzy Logic: Intelligence, Control, and Information",John Yen# Reza Langari,$118.77 - $178.77,1st Edition,,978-0135258170,135258170,,,Prentice Hall,Prentice Hall,,,English,7.4 x 1.4 x 9 inches,2.2 pounds (View shipping rates and policies)
787,High-Speed Networks TCP/IP and ATM Design Principles,William Stallings,$0.01 ,,,978-0135259658,135259657,,William Stallings Books on Computer and Data Communications Technology,Prentice Hall,Prentice Hall,,,English,1 x 7.5 x 9.5 inches,2.2 pounds
788,Computer Vision and Fuzzy-Neural Systems,Arun D. Kulkarni,$23.98 ,,,978-0135705995,135705991,,,Prentice Hall PTR ,Prentice Hall PTR,,,English,7.2 x 1.2 x 9.5 inches,2.4 pounds
789,"Programming the Cell Processor: For Games, Graphics, and Computation",Matthew Scarpino,$47.39 ,1st Edition,,978-0136008866,136008860,,,Prentice Hall,Prentice Hall,,,English,7.2 x 1.5 x 9.2 inches,2.6 pounds (View shipping rates and policies)
790,Applied Statistics for Engineers and Physical Scientists ,Johannes Ledolter# Robert V. Hogg,$35.99 - $52.99,3rd Edition,,978-0136017981,136017983,608 pages,,Pearson,Pearson,,,English,7 x 1.3 x 9.2 inches,2.2 pounds (View shipping rates and policies)
791,Introduction to Mathcad 15 ,Ronald W. Larsen,$26.34 - $62.17,3rd Edition,,978-0136025139,136025137,408 pages,,Prentice Hall,Prentice Hall,,,English,7.9 x 0.9 x 9.8 inches,1.5 pounds (View shipping rates and policies)
792,LaTEX for Everyone,Jane Hahn,$6.80 ,,,978-0136059080,136059082,368 pages,,Prentice Hall PTR,Prentice Hall PTR,,,English,6 x 0.7 x 8.9 inches,15.7 ounces
793,Computer Networks and Internets ,Douglas E. Comer,$29.99 ,5th Edition,136061273,978-0136066989,136066984,,,Pearson,Pearson,,,English,7 x 1.1 x 9.2 inches,2.1 pounds
794,HCS12 Microcontrollers and Embedded Systems,Muhammad Ali Mazidi# Danny Causey# Janice G. Mazidi# Danny Causey,$50.09 - $148.76,1st Edition,,978-0136072294,136072291,,,Prentice Hall,Prentice Hall,,,English,8.4 x 1.2 x 10.9 inches,3.8 pounds (View shipping rates and policies)
795,Computer Organization and Architecture: Designing for Performance ,William Stallings,$115.19 ,8th Edition,,978-0136073734,136073735,,,Pearson,Pearson,,,English,7.4 x 1.2 x 9.4 inches,2.8 pounds
796,Computer Networking: A Top-Down Approach ,James F. Kurose# Keith W. Ross,$101.69 ,5th Edition,,978-0136079675,136079679,,,Pearson,Pearson,,,English,7.6 x 1.4 x 9.3 inches,3 pounds
797,&quot;My Dear Ones&quot;: The Love Story of a Great Physician for His Patients,Neil Rau# Margaret Rau,$35.00 , ,,978-0136084303,136084303,,,Prentice Hall ,Prentice Hall,,,English,9.7 x 2.6 x 10.9 inches,1.4 pounds
798,Computer Systems: A Programmer's Perspective ,Randal E. Bryant# David R. O'Hallaron,$52.21 - $94.99,2nd Edition,,978-0136108047,136108040,,,Pearson,Pearson,,,English,7.6 x 1.8 x 9.2 inches,3.4 pounds (View shipping rates and policies)
799,Web Service Contract Design and Versioning for SOA,Thomas Erl# Anish Karmarkar# Priscilla Walmsley# Hugo Haas# L. Umit Yalcinalp# Hugo Haas# Kevin Liu# L. Umit Yalcinalp# David Orchard# Kevin Liu# Andre Tost# David Orchard# James Pasley# Andre Tost,$37.67 ,1st Edition,,978-0136135173,013613517X,,,Prentice Hall,Prentice Hall,,,English,7.4 x 1.9 x 9.4 inches,3.6 pounds (View shipping rates and policies)
800,Maintaining & Repairing PCs: Lab Manual,Charles J. Brooks,$9.00 - $150.40,5th Edition,,978-0136136828,136136826,414 pages,,Prentice Hall,Prentice Hall,,,English,8.3 x 0.6 x 10.8 inches,1.3 pounds
801,Introductory Geographic Information Systems ,John R. Jensen# Ryan R. Jensen,$51.40 - $76.99,1st Edition,,978-0136147763,136147763,432 pages,Prentice Hall Series in Geographic Information Science,Prentice Hall,Prentice Hall,,,English,8.4 x 0.6 x 10.7 inches,1.8 pounds (View shipping rates and policies)
802,Second Generation Mobile and Wireless Networks,Uyless D. Black# Ulyess Black,$0.40 ,1st Edition,,978-0136212775,136212778,,Prentice Hall Series in Advanced Communications Technologies,Prentice Hall PTR,Prentice Hall PTR,,,English,9.6 x 7.3 x 1.3 inches,2 pounds
803,Broadband Return Systems for Hybrid Fiber/Coax Cable TV Networks,Donald Raskin# Dean Stoneback,$8.87 ,1st Edition,,978-0136365150,136365159,,,Prentice Hall PTR,Prentice Hall PTR,,,English,7.3 x 0.7 x 9.4 inches,1.5 pounds
804,Verilog Digital Computer Design: Algorithms Into Hardware,Mark Arnold,$29.25 - $95.00,1st Edition,,978-0136392538,136392539,592 pages,,Prentice Hall,Prentice Hall,,,English,6.9 x 1.3 x 9 inches,2.2 pounds (View shipping rates and policies)
805,Parallel Programming: Techniques and Applications Using Networked Workstations and Parallel Computers,Barry Wilkinson# Michael Allen,$0.01 ,,,978-0136717102,136717101,431 pages,,Prentice Hall,Prentice Hall,,,English,7 x 0.9 x 9.2 inches,1.4 pounds
806,Public & Private Land Mobile Radio Telephones And Systems,Lawrence J. Harte# Robyn Shalhoub# Lawrence J. Harte# Alan Shark# Robyn Shalhoub,$0.00 ,1st Edition,,978-0136736097,136736092,,,Prentice Hall PTR,Prentice Hall PTR,,,English,9.5 x 7.2 x 1 inches,1.4 pounds
807,"SOA with REST: Principles, Patterns & Constraints for Building Enterprise Solutions with REST ",Thomas Erl# Benjamin Carlyle# Thomas Erl# Cesare Pautasso# Raj Balasubramanian# Herbj¿rn Wilhelmsen# Raj Balasubramanian# David Booth# Herbj¿rn Wilhelmsen,$31.72 ,1st Edition,,978-0137012510,137012519,,The Prentice Hall Service Technology Series from Thomas Erl,Prentice Hall,Prentice Hall,,,English,7 x 1.7 x 9.2 inches,2.6 pounds (View shipping rates and policies)
808,Fundamentals of LTE ,Arunabha Ghosh# Jun Zhang# Jeffrey G. Andrews# Rias Muhamed# Jeffrey G. Andrews,$50.92 ,1st Edition,,978-0137033119,137033117,,Prentice Hall Communications Engineering and Emerging Technologies Series from Ted Rappaport,Prentice Hall,Prentice Hall,,,English,7.3 x 1.1 x 9.8 inches,1.9 pounds (View shipping rates and policies)
809,Engineering Design Communications: Conveying Design Through Graphics ,Shawna E. Lockhart# Cindy Johnson# Shawna E. Lockhart,$132.42 ,2nd Edition,,978-0137057146,137057148,576 pages,,Peachpit Press,Peachpit Press,,,English,8.4 x 0.8 x 10.9 inches,2.3 pounds (View shipping rates and policies)
810,"Read Me First! A Style Guide for the Computer Industry, Third Edition ",Sun Technical Publications,$31.19 ,3rd Edition,,978-0137058266,137058268,464 pages,,Prentice Hall,Prentice Hall,,,English,7.3 x 0.9 x 8.9 inches,1.6 pounds (View shipping rates and policies)
811,Computer Systems: International Version: A Programmer's Perspective,Randal E. Bryant# David R. O'Hallaron,$25.00 ,,,978-0137133369,137133367,1080 pages,,Pearson Education ,Pearson Education,,,English,7.4 x 2.1 x 9 inches,3.7 pounds
812,ZigBee Wireless Sensor and Control Network,Ata Elahi# Adam Gschwender,$41.07 ,1st Edition,,978-0137134854,137134851,288 pages,,Prentice Hall,Prentice Hall,,,English,7 x 0.8 x 9.1 inches,1.2 pounds (View shipping rates and policies)
813,Salesforce.com Secrets of Success: Best Practices for Growth and Profitability,David Taber,$22.99 ,1st Edition,,978-0137140763,137140762,504 pages,,Prentice Hall,Prentice Hall,,,English,7.1 x 1.1 x 9.2 inches,1.8 pounds (View shipping rates and policies)
814,Best of Booch: Designing Strategies for Object Technology ,Grady Booch# Edward M. Eykholt,$0.98 - $64.99,1st Edition,,978-0137396160,137396163,254 pages,SIGS Reference Library (Book 7),SIGS,SIGS,,,English,6 x 0.6 x 9 inches,12.6 ounces (View shipping rates and policies)
815,Computer Applications in Mechanics of Materials using MATLAB,Louis H. Turcotte# Howard B. Wilson,$1.54 ,1st Edition,,978-0137490608,137490607,321 pages,,Prentice Hall,Prentice Hall,,,English,7.2 x 0.6 x 9.2 inches,1.1 pounds
816,"RS-232 Made Easy: Connecting Computers, Printers, Terminals, and Modems ",Martin D. Seyer,$7.98 ,2nd Edition,,978-0137498543,137498543,535 pages,,Prentice Hall,Prentice Hall,,,English,6 x 1.1 x 9 inches,1.2 pounds
817,The Essence of Human-Computer Interaction,Christine Faulkner,$4.88 - $33.99,1st Edition,,978-0137519750,137519753,216 pages,,Prentice Hall,Prentice Hall,,,English,6.2 x 0.5 x 9.3 inches,11.2 ounces (View shipping rates and policies)
818,Discrete-Time Signal Processing ,Alan V. Oppenheim# Ronald W. Schafer# John R. Buck,$59.95 ,2nd Edition,,978-0137549207,137549202,,Prentice-Hall Signal Processing Series,Prentice Hall,Prentice Hall,,,English,7.6 x 1.5 x 9.6 inches,3.3 pounds
819,Advanced Internet Technologies,Uyless D. Black,$1.46 ,,,978-0137595150,137595158,,Uyless Black Series on Computer Communications,Prentice Hall PTR,Prentice Hall PTR,,,English,9.6 x 7.4 x 1.3 inches,2 pounds
820,Computer-Based Exercises for Signal Processing Using MATLAB Ver.5,James H. McClellan# C. Sidney Burrus# James H. McClellan# Alan V. Oppenheim# C. Sidney Burrus# Thomas W. Parks# Alan V. Oppenheim# Schafer/ Schuessler# Thomas W. Parks,$39.99 - $49.62,1st Edition,,978-0137890095,137890095,404 pages,,Prentice Hall,Prentice Hall,,,English,8.3 x 1 x 10.8 inches,2.1 pounds (View shipping rates and policies)
821,"Computer Communications Security: Principles, Standard Protocols and Techniques",Warwick Ford,$2.38 - $112.67,1st Edition,,978-0137994533,137994532,528 pages,,Prentice Hall,Prentice Hall,,,English,7.2 x 1.1 x 9.5 inches,2 pounds (View shipping rates and policies)
822,AVR Microcontroller and Embedded Systems: Using Assembly and C ,Muhammad Ali Mazidi# Sarmad Naimi# Sepehr Naimi,$67.33 - $133.31,1st Edition,,978-0138003319,138003319,792 pages,Pearson Custom Electronics Technology,Prentice Hall,Prentice Hall,,,English,8.2 x 1.8 x 10.9 inches,3.9 pounds (View shipping rates and policies)
823,Managing AFS: The Andrew File System,Richard Campbell,$0.80 - $38.80,1st Edition,,978-0138027292,138027293,496 pages,,Prentice Hall,Prentice Hall,,,English,7 x 1 x 9 inches,1.6 pounds (View shipping rates and policies)
824,Sequential Program Structures ,Jim Welsh# John Elder# David Bustard# John Elder,$4.63 ,First Edition Edition,,978-0138068370,138068372,,Computer Science,Prentice Hall,Prentice Hall,,,English,9.1 x 6.6 x 1.1 inches,1.6 pounds
825,SOA Governance: Governing Shared Services On-Premise and in the Cloud ,Thomas Erl# Stephen G. Bennett# Benjamin Carlyle# Clive Gee# Benjamin Carlyle# Robert Laird# Clive Gee# Anne Thomas Manes# Robert Laird# Robert Moores# Robert Schneider# Leo Shuster# Robert Schneider# Andre Tost# Leo Shuster# Chris Venable# Andre Tost# Filippos Santas# Chris Venable,$30.30 ,1st Edition,,978-0138156756,138156751,,The Prentice Hall Service Technology Series from Thomas Erl,Prentice Hall,Prentice Hall,,,English,7.4 x 1.6 x 9.5 inches,2.8 pounds (View shipping rates and policies)
826,Mobile Agents,William R. Cockayne# Michael Zyda,$0.03 ,,,978-0138582425,138582424,312 pages,,Prentice Hall PTR ,Prentice Hall PTR,,,English,9 x 7 x 0.8 inches,1.2 pounds
827,Navigating the AS/400: A Hands-On Guide ,John Enck# Michael Ryan,$0.10 - $49.99,2nd Edition,,978-0138625580,138625581,512 pages,,Prentice Hall,Prentice Hall,,,English,6.9 x 1.2 x 9 inches,1.9 pounds (View shipping rates and policies)
828,Syntactic Pattern Recognition and Applications ,K. S. Fu,$16.95 , ,,978-0138801205,138801207,,Prentice-Hall advances in computing science and technology series,Prentice Hall ,Prentice Hall,,,English,9.1 x 6.2 x 1.9 inches,2.1 pounds
829,Layer 3 Switching: A Guide for It Professionals ,James A. Metzler# Lynn A. Denoia# James A. Metzler,$0.41 ,,,978-0139198380,139198385,,Prentice Hall Series in Computer Networking and Distributed Systems,Prentice Hall,Prentice Hall,,,English,1 x 7.2 x 10 inches,1.8 pounds
830,Essentials of Electrical and Computer Engineering,David V. Kerns Jr.# J. David Irwin# David V. Kerns Jr.,$51.99 - $152.42,2nd Edition,,978-0139239700,139239707,672 pages,,Prentice Hall,Prentice Hall,,,English,8 x 1.6 x 8.4 inches,2.4 pounds (View shipping rates and policies)
831,Fiber-Optic Communications Technology,Djafar K. Mynbaev# Lowell L. Scheiner,$13.77 - $230.40,1st Edition,,978-0139620690,139620699,750 pages,,Prentice Hall,Prentice Hall,,,English,7.9 x 1.7 x 9.9 inches,3.8 pounds (View shipping rates and policies)
832,LabVIEW Signal Processing,Mahesh L. Chugani# Abhay R. Samant# Michael Cerna# Abhay R. Samant,$54.39 ,1st Edition,,978-0139724497,139724494,688 pages,,Prentice Hall,Prentice Hall,,,English,6.9 x 1.5 x 9.1 inches,2.3 pounds (View shipping rates and policies)
833,Principles of Computer Systems ,Gerald M. Karam# John C. Bryant# Gerald M. Karam,$68.89 - $154.80,1st Edition,,978-0139752360,139752366,,,Pearson,Pearson,,,English,6.9 x 1 x 8.9 inches,5.6 ounces (View shipping rates and policies)
834,Crypto: How the Code Rebels Beat the Government Saving Privacy in the Digital Age,Steven Levy,$19.68 ,,,,,,,,,,,,,
835,The Age of Spiritual Machines: When Computers Exceed Human Intelligence,Ray Kurzweil,$11.58 ,,,,,,,,,,,,,
836,"Insanely Great: The Life and Times of Macintosh, the Computer that Changed Everything",Steven Levy,$19.65 ,,,,,,,,,,,,,
837,What the Dormouse Said: How the Sixties Counterculture Shaped the Personal Computer Industry,John Markoff,$8.51 ,,,,,,,,,,,,,
